ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,LIGHT,PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time,YYYY-MO-DD HH-MI-SS_SSS
-1.743,-9.414,1.273,0,0,58.34,,,,NaN,,,,0 / 0,20208,2018-11-09 17:06:19:192
-0.737,-8.044,2.059,21,0,58.34,,,,NaN,,,,0 / 0,20308,2018-11-09 17:06:19:292
0.344,-7.958,1.589,0,0,58.34,,,,NaN,,,,0 / 0,20408,2018-11-09 17:06:19:392
-1.187,-7.91,6.244,3,0,36.35,,,,NaN,,,,0 / 0,20508,2018-11-09 17:06:19:492
-2.911,-5.88,7.546,7,0,36.35,,,,NaN,,,,0 / 0,20608,2018-11-09 17:06:19:592
-6.56,-3.419,7.106,25,0,36.35,,,,NaN,,,,0 / 0,20708,2018-11-09 17:06:19:692
-7.307,-3.438,10.324,11,0,48.93,,,,NaN,,,,0 / 0,20808,2018-11-09 17:06:19:792
-5.334,-1.752,10.668,21,0,48.93,,,,NaN,,,,0 / 0,20908,2018-11-09 17:06:19:892
-6.464,-0.804,12.306,7,0,48.93,,,,NaN,,,,0 / 0,21009,2018-11-09 17:06:19:993
-6.349,-1.819,10.678,1,0,48.93,,,,NaN,,,,0 / 0,21108,2018-11-09 17:06:20:092
-6.033,-2.624,10.381,11,0,60.64,,,,NaN,,,,0 / 0,21208,2018-11-09 17:06:20:192
-4.146,-4.874,8.035,0,0,60.64,,,,NaN,,,,0 / 0,21309,2018-11-09 17:06:20:293
-3.543,-7.067,6.818,19,0,60.64,,,,NaN,,,,0 / 0,21408,2018-11-09 17:06:20:392
-3.735,-9.27,4.434,20,0,53.4,,,,NaN,,,,0 / 0,21508,2018-11-09 17:06:20:492
-1.838,-6.502,2.892,16,0,53.4,,,,NaN,,,,0 / 0,21608,2018-11-09 17:06:20:592
-2.068,-7.872,3.371,8,0,53.4,,,,NaN,,,,0 / 0,21708,2018-11-09 17:06:20:692
-3.399,-10.544,2.106,27,0,54.36,,,,NaN,,,,0 / 0,21809,2018-11-09 17:06:20:793
-0.622,-9.634,0.22,15,0,54.36,,,,NaN,,,,0 / 0,21909,2018-11-09 17:06:20:893
-2.614,-9.826,1.743,9,0,54.36,,,,NaN,,,,0 / 0,22009,2018-11-09 17:06:20:993
-2.432,-8.791,2.078,5,0,58.14,,,,NaN,,,,0 / 0,22108,2018-11-09 17:06:21:092
-1.426,-7.585,0.249,2,0,58.14,,,,NaN,,,,0 / 0,22208,2018-11-09 17:06:21:192
-4.673,-8.025,1.053,11,0,58.14,,,,NaN,,,,0 / 0,22308,2018-11-09 17:06:21:292
-2.298,-7.249,4.865,13,0,44.74,,,,NaN,,,,0 / 0,22408,2018-11-09 17:06:21:392
-1.034,-5.123,5.64,3,0,44.74,,,,NaN,,,,0 / 0,22508,2018-11-09 17:06:21:492
-4.252,-4.348,8.312,17,0,44.74,,,,NaN,,,,0 / 0,22611,2018-11-09 17:06:21:595
-6.857,-4.798,9.807,15,0,47.75,,,,NaN,,,,0 / 0,22708,2018-11-09 17:06:21:692
-6.713,-0.526,12.297,14,0,47.75,,,,NaN,,,,0 / 0,22808,2018-11-09 17:06:21:792
-5.717,-0.469,10.008,14,0,47.75,,,,NaN,,,,0 / 0,22909,2018-11-09 17:06:21:893
-6.818,-0.9,13.101,24,0,60.42,,,,NaN,,,,0 / 0,23008,2018-11-09 17:06:21:992
-6.368,-3.045,11.061,8,0,60.42,,,,NaN,,,,0 / 0,23108,2018-11-09 17:06:22:092
-5.497,-4.855,9.443,31,0,60.42,,,,NaN,,,,0 / 0,23208,2018-11-09 17:06:22:192
-3.936,-5.583,5.324,9,0,56.96,,,,NaN,,,,0 / 0,23309,2018-11-09 17:06:22:293
-3.984,-8.14,4.558,16,0,56.96,,,,NaN,,,,0 / 0,23408,2018-11-09 17:06:22:392
-3.007,-8.016,4.194,4,0,56.96,,,,NaN,,,,0 / 0,23508,2018-11-09 17:06:22:492
